image_link,price,Distance,summaryscore,ratingband,cleanliness,facilities,animal_allowance,rooms,valueformoney,room_status,area,city,mobile,PGNAME,EMAIL
1,3300,2,9,Superb,9,9,Not Allowed,3,9,Sharing,HSR layout,Bangalore,6394783663,The Room Plaza,sarafayush130@gmail.com
1,2600,3,9,Superb,9,9,Allowed,3,9,Single,Rohini sector 16,Delhi,6394783663,The Room Plaza,sarafayush130@gmail.com
1,3600,7,8,Fabulous,7,9,Allowed,2,9,Single,Haralur Road,Bangalore,6394783663,The Room Plaza,sarafayush130@gmail.com
1,2600,8,7,Very Good,7,7,Allowed,2,6,Single,Mulund East,Mumbai,6394783663,The Room Plaza,sarafayush130@gmail.com
1,1500,13,9,Superb,9,9,Not Allowed,2,9,Single,Sarjapur  Road,Bangalore,6394783663,The Room Plaza,sarafayush130@gmail.com
1,2100,9,7,Very Good,8,6,Allowed,2,6,Sharing,Subramanyapura,Bangalore,6394783663,The Room Plaza,sarafayush130@gmail.com
1,3300,16,9,Superb,9,9,Not Allowed,3,8,Sharing,Mansarover Garden,Delhi,6394783663,The Room Plaza,sarafayush130@gmail.com
1,2000,1,9,Superb,9,9,Not Allowed,3,9,Single,Begur Road,Bangalore,6394783663,The Room Plaza,sarafayush130@gmail.com
1,2500,13,8,Superb,8,8,Not Allowed,3,8,Sharing,Perungalathur,Kolkata,6394783663,The Room Plaza,sarafayush130@gmail.com
1,2200,33,7,Very Good,7,6,Allowed,2,8,Sharing,Uttarpara Kotrung,Kolkata,6394783663,The Room Plaza,sarafayush130@gmail.com
1,1600,9,9,Superb,9,8,Allowed,2,9,Sharing,Uttarahalli,Bangalore,6394783663,The Room Plaza,sarafayush130@gmail.com
1,2000,13,8,Fabulous,8,8,Allowed,2,8,Single,Uttarahalli,Bangalore,6394783663,The Room Plaza,sarafayush130@gmail.com
1,2200,8,10,Superb,10,10,Allowed,4,10,Sharing,Kasavanhalli,Bangalore,6394783663,The Room Plaza,sarafayush130@gmail.com
1,2900,2,9,Superb,9,8,Allowed,4,9,Single,Choolaimedu,Kolkata,6394783663,The Room Plaza,sarafayush130@gmail.com
1,2000,8,9,Superb,9,8,Allowed,1,9,Single,Mathikere,Bangalore,6394783663,The Room Plaza,sarafayush130@gmail.com
1,1800,9,9,Superb,9,9,Allowed,4,9,Sharing,Thane West,Mumbai,6394783663,The Room Plaza,sarafayush130@gmail.com
1,2700,1,9,Superb,9,8,Allowed,5,9,Single,Frazer Town,Bangalore,6394783663,The Room Plaza,sarafayush130@gmail.com
1,2400,13,8,Fabulous,8,7,Not Allowed,2,8,Sharing,Thane East,Mumbai,6394783663,The Room Plaza,sarafayush130@gmail.com
1,1600,13,7,Very Good,6,7,Not Allowed,2,8,Single,Patel Nagar,Delhi,6394783663,The Room Plaza,sarafayush130@gmail.com
1,1300,9,8,Fabulous,9,8,Allowed,2,9,Single,Sector 22 Dwarka,Delhi,6394783663,The Room Plaza,sarafayush130@gmail.com
1,3600,9,8,Fabulous,8,8,Allowed,1,8,Single,Chembur,Mumbai,6394783663,The Room Plaza,sarafayush130@gmail.com
1,2000,9,9,Superb,9,9,Allowed,2,9,Single,Kalyan West,Mumbai,6394783663,The Room Plaza,sarafayush130@gmail.com
1,3500,3,8,Fabulous,9,8,Allowed,1,8,Single,Dakshineswar,Kolkata,6394783663,The Room Plaza,sarafayush130@gmail.com
1,2600,4,8,Fabulous,9,8,Allowed,4,9,Single,Titwala East,Mumbai,6394783663,The Room Plaza,sarafayush130@gmail.com
1,2600,1,9,Superb,9,9,Allowed,2,9,Sharing,Maithri Layout,Bangalore,6394783663,The Room Plaza,sarafayush130@gmail.com
1,1800,2,9,Superb,9,9,Allowed,4,9,Sharing,Khanpur,Delhi,6394783663,The Room Plaza,sarafayush130@gmail.com
1,2100,9,9,Superb,9,9,Allowed,1,9,Sharing,Kada Agrahara,Bangalore,6394783663,The Room Plaza,sarafayush130@gmail.com
1,1500,6,8,Fabulous,8,8,Not Allowed,1,9,Sharing,Guduvancheri,Kolkata,6394783663,The Room Plaza,sarafayush130@gmail.com
1,2200,4,8,Fabulous,8,8,Allowed,1,9,Sharing,Karol Bagh,Delhi,6394783663,The Room Plaza,sarafayush130@gmail.com
1,3800,16,9,Superb,10,9,Allowed,2,10,Single,Greater kailash 1,Delhi,6394783663,The Room Plaza,sarafayush130@gmail.com
